Sticker,Item,2017,2016,2015,2014,2013
STBC,Equity,3409.64,12030.67,17131.09,14533.93,15851.16
SMBC,Equity,7680,175,-6685,-12220,955
SIBC,Equity,72486,59456,52434.72,43745.8,41416.61
SDCC,Equity,13169.47,13085.97,13618.83,13387.7,12699.78
SOGC,Equity,58769.83,56032.09,53979.29,52090.56,51616.9
SLBC,Equity,101604,104604,84542.04,66923.59,65465.7
SNTS,Equity,626119,641329,624901,591982,554506
SCRC,Equity,49160,48896,47035,41159,
TTLC,Equity,37093,34093,31504,32542,31038
PRSC,Equity,,8871.5,9178.78,8652.68,8348.13
UNLC,Equity,,-18373.44,-7740.11,-5128.8,7067.99
UNXC,Equity,22201.72,22201.66,10415.3,8082.71,6838.11
SHEC,Equity,24958.77,24958.77,22285.23,20227.46,18611.81
SIVC,Debt,8947.59,8947.29,7507.47,5920.07,7024.69
SAFC,Debt,52455,52455,47471,48406,49451
BNBC,Debt,13179.24,10617.56,10471.44,8640.16,4535.64
CFAC,Debt,9016.353,6158.29,10411.27,1773.44,8142.91
CIEC,Debt,203501.51,118894.74,55290.49,35566.23,32358.44
SEMC,Debt,3556.48,3450,1756.3,1795.69,1959.98
FTSC,Debt,20737.39,12816.52,55132.74,57644.45,41984.47
SVOC,Debt,0,9047,9047,3892,7473
NEIC,Debt,128.73,147.35,209.21,200.51,194.06
NTLC,Debt,108818.94,103254.01,78325.81,65112.42,56800.99
ONTBF,Debt,38066.78,43929.3,51689.68,#VALUE!,0
PALC,Debt,17361.14,32047.79,22077.66,16177.53,5030.47
SPHC,Debt,25778.1,25778.1,30425.71,31046.44,20556.73
ABJC,Debt,1395.56,1395.56,1773.95,2219.98,22.24
STAC,Debt,525.51,935.19,850.26,219.67,197.88
CABC,Debt,1885.17,1885.17,1733.54,1013.37,1013.37
SICC,Debt,139.55,131.62,78.32,99.97,325.6
STBC,Debt,17.93,17.93,17.93,17.93,17.93
SMBC,Debt,31587,42570,43602,74785,54303
SDCC,Debt,55818.13,40563.31,47413.19,31486.01,35715.52
SOGC,Debt,5770.19,7190.95,9691.93,10651.63,6110.58
SLBC,Debt,118933,38097,59786.91,52017.88,44720.17
SNTS,Debt,158329,1923,2191,2918,15132
SCRC,Debt,17951,15825,18522,16916,0
TTLC,Debt,18073,17052,10337,6819,1008
PRSC,Debt,0,1376.27,2058.96,2786.09,1773.95
UNLC,Debt,0,533.62,543.69,36045.65,26506.06
UNXC,Debt,1986.65,2052.37,1145.19,3885.1,1054.54
SHEC,Debt,8525.88,8525.88,8113.76,7446.58,7666.57
BOAC,Debt,0,1318,1885,1661,1293
BOAN,Debt,0,400,800,1200,2190.91
SDSC,Debt,0,0,0,0,0
CBIBF,Debt,,1500,2200,2900,3600
ECOC,Debt,0,0,0,0,0
SGBC,Debt,0,0,0,0,0
SIBC,Debt,6000,6000,6000,6000,6000
